Date,Difference,Predicted_Price,Lower_Confidence_Interval,Upper_Confidence_Interval,borough
2022-07-31,-39459.33978668792,749460.3268799786,642329.3389584131,988091.6824672116,N21
2022-08-31,-42586.85552395125,746332.8111427154,611983.1260362782,959601.1758225284,N21
2022-09-30,-53418.14780415552,735501.5188625111,603383.7976747025,952792.9510982222,N21
2022-10-31,-21946.620815431874,766973.0458512348,644875.0958765645,995907.291434216,N21
2022-11-30,-62825.21912098742,726094.4475456792,571925.9573119781,924156.179410244,N21
2022-12-31,-7596.701726019484,781322.9649406471,667640.3690090509,1020655.9991142182,N21
2022-01-31,-2396.48170608512,378970.30400820065,348013.986620239,409926.62139616226,CR7
2022-02-28,-1383.4908908910702,379983.2948233947,343748.3778552837,421011.1752036758,CR7
2022-03-31,-370.5000756970203,380996.2856385887,343748.37784806313,421011.1752108964,CR7
2022-04-30,642.4907394970296,382009.27645378275,343748.3778408426,421011.17521811696,CR7
2022-05-31,1655.4815546910795,383022.2672689768,343748.37783362204,421011.1752253375,CR7
2022-06-30,2668.4723698851294,384035.25808417087,343748.3778264015,421011.1752325581,CR7
2022-07-31,3681.4631850791793,385048.2488993649,343748.37781918095,421011.17523977865,CR7
2022-08-31,4694.454000273229,386061.239714559,343748.3778119604,421011.1752469992,CR7
2022-09-30,5707.444815467279,387074.230529753,343748.37780473987,421011.17525421974,CR7
2022-10-31,6720.435630661329,388087.22134494706,343748.3777975193,421011.1752614403,CR7
2022-11-30,7733.426445855379,389100.2121601411,343748.3777902988,421011.1752686608,CR7
2022-12-31,8746.417261049428,390113.2029753352,343748.37778307823,421011.17527588137,CR7
2022-01-31,1491.8078972767726,466208.47456394345,428648.4364065787,503768.51272130816,SM4
2022-02-28,2238.214327786658,466954.8809944533,418285.5642498124,512640.5819445408,SM4
2022-03-31,3404.710301203915,468121.37696787063,418573.8862304279,513192.43904974,SM4
2022-04-30,4829.392581782773,469546.05924844946,418152.40324566024,514130.2946488309,SM4
2022-05-31,6109.967184402237,470826.6338510689,418008.23497215216,513986.2475664201,SM4
2022-06-30,7378.16410699124,472094.83077365794,417993.11548954935,513976.611688962,SM4
2022-07-31,8627.271803080454,473343.93846974714,417959.8126430909,513971.736082421,SM4
2022-08-31,9927.54555270016,474644.21221936686,417993.6131678196,514040.2676647532,SM4
2022-09-30,11188.46534471088,475905.13201137754,417949.37223907275,514005.8006782821,SM4
2022-10-31,12479.165160671744,477195.8318273384,417973.084128576,514041.64883667906,SM4
2022-11-30,13739.338658536652,478456.00532520335,417937.4107567459,514016.26957231725,SM4
2022-12-31,15029.88192123306,479746.5485878998,417961.5866981906,514052.8331605356,SM4
2022-01-31,1098.8688701297451,335628.4143246752,311716.9000347718,359539.9286145786,RM10
2022-02-28,6878.376202532125,341407.9216570776,309735.0842436031,370883.02133029257,RM10
2022-03-31,4577.048031886838,339106.59348643234,301129.70502713433,363326.7295406661,RM10
2022-04-30,6699.224419641286,341228.7698741868,305428.56022008706,367874.8834645128,RM10
2022-05-31,9954.60921290195,344484.15466744744,306561.7638494727,369008.0966461396,RM10
2022-06-30,8392.875421250505,342922.420875796,301563.098024959,364372.5253008291,RM10
2022-07-31,11627.143554981829,346156.6890095273,306235.01295740664,369292.61421914696,RM10
2022-08-31,12987.83379031096,347517.3792448564,304307.3623383937,367473.1090413555,RM10
2022-09-30,12788.369464856249,347317.9149194017,302723.7671013268,365936.3951568547,RM10
2022-10-31,15904.510225543654,350434.0556800891,305994.23610825476,369297.136322211,RM10
2022-11-30,16333.2058291116,350862.7512836571,303227.77687485394,366688.70524137287,RM10
2022-12-31,17327.00531847415,351856.5507730196,303792.6796461465,367254.01024166954,RM10
2022-01-31,-411332.0422286636,668667.9577713364,-237335.4955824944,1574671.4111251673,WC2
2022-02-28,-191409.298298636,888590.701701364,172997.70396874496,2426847.78389131,WC2
2022-03-31,-499888.58030734607,580111.4196926539,-360866.7265138847,1903908.1624964648,WC2
2022-04-30,-582729.7302918815,497270.2697081185,-147720.47467601066,2142038.1747069396,WC2
2022-05-31,-534777.6355990099,545222.3644009901,-24762.23795121303,2280666.427336956,WC2
2022-06-30,-854115.3282027503,225884.6717972497,-395039.1402205094,1916363.7550130289,WC2
2022-07-31,-806530.217066531,273469.78293346905,-28461.635209771805,2283631.8574822107,WC2
2022-08-31,-916869.6218271948,163130.3781728053,-188555.19683588625,2127876.387314559,WC2
2022-09-30,-1147903.152947396,-67903.15294739604,-311499.4093153607,2009432.347074958,WC2
2022-10-31,-1074959.7143922676,5040.285607732367,-10330.67722483212,2316217.554335089,WC2
2022-11-30,-1299695.188698562,-219695.18869856183,-308033.5524890991,2018562.6038765104,WC2
2022-12-31,-1400603.1513383817,-320603.15133838146,-184656.56231640629,2142840.637036767,WC2
2022-01-31,112414.36130950625,1135925.7024859767,959136.6656250318,1312714.739346922,SW19
2022-02-28,-6178.101520795957,1017333.2396556748,678544.6026874715,1131293.154004865,SW19
2022-03-31,21858.756873360573,1045370.0980498312,824327.5609064286,1278768.8382348255,SW19
2022-04-30,121020.9180833196,1144532.2592597902,894491.2192961527,1350855.7854767065,SW19
2022-05-31,-5419.059185491409,1018092.2819909792,668866.1907097714,1125276.537105548,SW19
2022-06-30,56689.69382810755,1080201.035004578,856897.1342992532,1314343.0540808858,SW19
2022-07-31,124531.26887809744,1148042.6100545682,861547.1148559947,1321158.7175969265,SW19
2022-08-31,484.49657036652206,1023995.8377468372,669485.516527357,1129443.6212101222,SW19
2022-09-30,90635.88347258946,1114147.22464906,883457.9491828895,1343867.5069744976,SW19
2022-10-31,123998.77553064557,1147510.116707116,825626.9909756067,1288121.4754934467,SW19
2022-11-30,11889.25121556918,1035400.5923920398,679753.5253248445,1143050.108397944,SW19
2022-12-31,122253.36899491114,1145764.7101713817,902184.1654310348,1365566.7524805905,SW19
2022-01-31,71254.70704216388,847174.3070421638,740830.5159606879,953518.0981236398,N16
2022-02-28,-16695.59797730489,759224.002022695,556971.5402470378,818967.0497140246,N16
2022-03-31,14283.67790629217,790203.2779062921,672996.6544026817,940801.0973645124,N16
2022-04-30,7951.283944911644,783870.8839449116,635683.9639195881,903490.4481576508,N16
2022-05-31,15959.370833395566,791878.9708333955,647634.7766521003,920220.5971248676,N16
2022-06-30,28736.523532649444,804656.1235326494,651604.0523903009,925789.4530082068,N16
2022-07-31,6709.012246928636,782628.6122469286,616482.9307235937,891301.2467049647,N16
2022-08-31,41631.65131075038,817551.2513107504,673028.3765196641,948656.1016079794,N16
2022-09-30,7829.83482931216,783749.4348293121,603991.6051271441,880243.9619099793,N16
2022-10-31,48813.937756340376,824733.5377563403,678678.8570523087,955128.5488017476,N16
2022-11-30,14568.06209378194,790487.6620937819,603421.2244237493,879926.2242511339,N16
2022-12-31,49967.62657941816,825887.2265794182,673066.660650919,949571.6683203534,N16
2022-01-31,-189714.69626016612,569660.3037398339,492549.5117191571,646771.0957605107,N11
2022-02-28,-198991.3913905043,560383.6086094957,651047.9981524012,849148.6115869225,N11
2022-03-31,-160458.52750629908,598916.4724937009,698736.6008355063,897079.126932904,N11
2022-04-30,-188684.6707143896,570690.3292856105,631101.2120888466,831196.5014949723,N11
2022-05-31,-161275.2871820621,598099.7128179378,686176.9938982612,887391.7731663937,N11
2022-06-30,-183040.27063240204,576334.729367598,636570.8346119053,838649.1984874149,N11
2022-07-31,-160020.72911521333,599354.2708847867,681012.4140488801,883776.6689854973,N11
2022-08-31,-177829.87409609914,581545.1259039008,639887.4422971007,843244.2677411276,N11
2022-09-30,-158462.48989105772,600912.5101089423,676829.5023681766,880655.2660419062,N11
2022-10-31,-172939.17244500056,586435.8275549994,642781.8867448138,847014.7481473006,N11
2022-11-30,-156604.6616045712,602770.3383954288,673433.4452159865,877985.5764648722,N11
2022-12-31,-168320.62003977326,591054.3799602267,645242.8846424193,850075.1984871766,N11
2022-01-31,-22359.897688355944,705057.4707326966,611592.4377888615,798522.5036765318,E5
2022-02-28,-73659.49735532,653757.8710657326,556632.5668428141,795602.9706653629,E5
2022-03-31,-16380.141633399318,711037.2267876533,665167.0870411305,904226.361244816,E5
2022-04-30,-60276.89961382179,667140.4688072308,563891.1084378131,803150.1124434471,E5
2022-05-31,-27159.46399966372,700257.9044213889,640314.0420432624,880755.5660271589,E5
2022-06-30,-36463.93195366935,690953.4364673833,596933.3413375402,839292.4595965536,E5
2022-07-31,-41011.60909207998,686405.7593289725,600612.5241985486,845126.8583667353,E5
2022-08-31,-16549.010853499265,710868.3575675533,628882.8042021164,874877.1291171502,E5
2022-09-30,-45551.68070146043,681865.6877195921,575052.2421564145,821777.1549897683,E5
2022-10-31,-9052.306549916102,718365.0618711365,640502.0482396258,887331.436905568,E5
2022-11-30,-37128.51903935464,690288.849381698,575918.058425236,822764.2534379921,E5
2022-12-31,-12729.045147652956,714688.3232733996,628231.0095601925,875402.6750653161,E5
2022-01-31,8726.640710521431,575418.0216629023,499951.2488678647,650884.79445794,E2
2022-02-28,11233.062969981387,577924.4439223623,483860.240081862,654535.3663418198,E2
2022-03-31,11709.346076502805,578400.7270288838,481211.5714353956,653123.7566824091,E2
2022-04-30,15125.811732250457,581817.1926846314,483992.5287707679,656223.1644454893,E2
2022-05-31,16906.09384440969,583597.4747967906,482355.7723630994,654587.553765981,E2
2022-06-30,16798.671903719973,583490.052856101,480458.8544984581,652709.0635249245,E2
2022-07-31,19687.10837149948,586378.4893238804,483429.1564885739,655730.478351747,E2
2022-08-31,21997.02745716088,588688.4084095418,482849.8269642333,655152.7731118514,E2
2022-09-30,21857.330544089455,588548.7114964704,480379.8646971196,652723.5033814994,E2
2022-10-31,24225.20337822983,590916.5843306108,482871.2764791114,655247.2310939312,E2
2022-11-30,26971.650178296582,593663.0311306776,483249.67665535375,655625.9788495416,E2
2022-12-31,26986.76990890176,593678.1508612827,480493.80482159054,652919.1965443817,E2
2022-01-31,19769.182656562225,470082.9377586031,433589.3773659841,506576.498151222,NW9
2022-02-28,20042.90335726097,470356.6584593018,403835.78795763047,497339.16364784865,NW9
2022-03-31,20316.62405795971,470630.37916000054,403833.7213929592,497341.2302125199,NW9
2022-04-30,20590.34475865846,470904.09986069927,403831.6549196283,497343.2966858508,NW9
2022-05-31,20864.065459357204,471177.82056139805,403829.5885376255,497345.3630678536,NW9
2022-06-30,21137.786160055948,471451.5412620968,403827.5222469388,497347.42935854034,NW9
2022-07-31,21411.506860754693,471725.2619627955,403825.456047556,497349.4955579231,NW9
2022-08-31,21685.227561453437,471998.98266349424,403823.3899394651,497351.561666014,NW9
2022-09-30,21958.948262152186,472272.70336419303,403821.3239226539,497353.6276828252,NW9
2022-10-31,22232.668962850927,472546.42406489176,403819.2579971104,497355.69360836875,NW9
2022-11-30,22506.38966354967,472820.1447655905,403817.1921628224,497357.7594426567,NW9
2022-12-31,22780.110364248416,473093.8654662892,403815.1264197779,497359.82518570125,NW9
