Date,Predicted_Price,rmse,mae,borough
2022-09-30,416017.84,53148.16752318486,28557.366278165668,SE8
2022-10-31,407132.6,53148.16752318486,28557.366278165668,SE8
2022-11-30,403565.75,53148.16752318486,28557.366278165668,SE8
2022-12-31,417769.6,53148.16752318486,28557.366278165668,SE8
2022-01-31,724556.2,79649.35622841775,45728.02968953602,HA5
2022-02-28,722584.1,79649.35622841775,45728.02968953602,HA5
2022-03-31,720304.5,79649.35622841775,45728.02968953602,HA5
2022-04-30,718294.7,79649.35622841775,45728.02968953602,HA5
2022-05-31,718336.7,79649.35622841775,45728.02968953602,HA5
2022-06-30,718611.6,79649.35622841775,45728.02968953602,HA5
2022-07-31,716489.75,79649.35622841775,45728.02968953602,HA5
2022-08-31,713783.9,79649.35622841775,45728.02968953602,HA5
2022-09-30,714421.2,79649.35622841775,45728.02968953602,HA5
2022-10-31,714130.56,79649.35622841775,45728.02968953602,HA5
2022-11-30,710453.0,79649.35622841775,45728.02968953602,HA5
2022-12-31,716720.3,79649.35622841775,45728.02968953602,HA5
2022-01-31,530412.25,70270.42666631003,30962.60896465413,SM2
2022-02-28,620368.9,70270.42666631003,30962.60896465413,SM2
2022-03-31,528927.5,70270.42666631003,30962.60896465413,SM2
2022-04-30,514562.72,70270.42666631003,30962.60896465413,SM2
2022-05-31,505071.8,70270.42666631003,30962.60896465413,SM2
2022-06-30,515426.84,70270.42666631003,30962.60896465413,SM2
2022-07-31,515875.53,70270.42666631003,30962.60896465413,SM2
2022-08-31,517243.0,70270.42666631003,30962.60896465413,SM2
2022-09-30,519635.84,70270.42666631003,30962.60896465413,SM2
2022-10-31,515829.47,70270.42666631003,30962.60896465413,SM2
2022-11-30,516211.6,70270.42666631003,30962.60896465413,SM2
2022-12-31,517184.44,70270.42666631003,30962.60896465413,SM2
2022-01-31,391808.9,30681.947750452095,19082.042136196716,N18
2022-02-28,391808.9,30681.947750452095,19082.042136196716,N18
2022-03-31,390929.53,30681.947750452095,19082.042136196716,N18
2022-04-30,388395.6,30681.947750452095,19082.042136196716,N18
2022-05-31,388395.6,30681.947750452095,19082.042136196716,N18
2022-06-30,388395.6,30681.947750452095,19082.042136196716,N18
2022-07-31,393754.8,30681.947750452095,19082.042136196716,N18
2022-08-31,393754.8,30681.947750452095,19082.042136196716,N18
2022-09-30,393119.1,30681.947750452095,19082.042136196716,N18
2022-10-31,392787.38,30681.947750452095,19082.042136196716,N18
2022-11-30,392787.38,30681.947750452095,19082.042136196716,N18
2022-12-31,392412.12,30681.947750452095,19082.042136196716,N18
2022-01-31,338067.9,22825.541030212855,14316.499230029096,RM9
2022-02-28,338069.25,22825.541030212855,14316.499230029096,RM9
