ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{4E91A00C-21C2-42FE-8EAB-4413E3CEED61},61950,1995-04-07 00:00,CR2 7DE,T,F,70,,ST PETERS STREET,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,967.96875,4.0,64.0,70.0,1929.0,CR2,1995
{7347D63F-5501-4D40-B9F3-5B3A5AE7DCF4},225000,1995-04-10 00:00,CR2 0LS,D,F,1,,STOCKHAMS CLOSE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1339.28571428571,8.0,168.0,63.0,1995.0,CR2,1995
{A6C821EE-A948-42EB-8AFC-129FF8D05233},96000,1995-04-10 00:00,CR2 0JU,T,F,83,,CHURCH WAY,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,806.72268907563,7.0,119.0,63.0,1966.0,CR2,1995
{2A289E9E-4E68-CDC8-E050-A8C063054829},40000,1995-04-10 00:00,CR2 6PZ,S,F,99,,SELSDON ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,547.945205479452,4.0,73.0,62.0,1929.0,CR2,1995
{94D2492E-A7DF-4D5D-B85E-D8CF49A3B9AA},185500,1995-04-10 00:00,CR2 9JD,D,F,6,,SHAW CLOSE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1246.89117429589,7.0,148.77,54.0,1966.0,CR2,1995
{2A289E9F-922F-CDC8-E050-A8C063054829},28000,1995-04-11 00:00,CR2 7BA,S,F,34,,CROHAM ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,459.016393442623,3.0,61.0,33.0,1929.0,CR2,1995
{2A289E9F-80CE-CDC8-E050-A8C063054829},17400,1995-04-11 00:00,CR2 6HY,T,F,54,,CHELSHAM ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,275.490816972768,4.0,63.16,72.0,1929.0,CR2,1995
{61B41C26-B1A4-4E33-8387-CA0C7F598EAB},152000,1995-04-11 00:00,CR2 8BD,D,F,4,,MAPLELEAF CLOSE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1000.52659294365,6.0,151.92,64.0,1995.0,CR2,1995
{4C2449C2-E0D8-41C3-99EC-07064054FB74},51250,1995-04-12 00:00,CR2 6LJ,F,L,"MORAY COURT, 31",5,WARHAM ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,776.515151515152,3.0,66.0,65.0,1966.0,CR2,1995
{C9DF7D13-7C65-4B06-BBC8-71987BB66176},52000,1995-04-13 00:00,CR2 6QH,F,L,112,,KINGSDOWN AVENUE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,794.49961802903,3.0,65.45,63.0,1975.0,CR2,1995
{2A289E9D-E39D-CDC8-E050-A8C063054829},36500,1995-04-18 00:00,CR2 7BD,F,L,74,,CROHAM ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,756.790379431889,2.0,48.23,45.0,1900.0,CR2,1995
{504D799E-FDAD-42BD-BF58-48E704032121},52000,1995-04-18 00:00,CR2 8JA,F,L,20,,ASHEN VALE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,928.571428571429,3.0,56.0,41.0,1949.0,CR2,1995
{D166AA68-2A43-4C21-9F83-7E25ADEA0AD5},51250,1995-04-18 00:00,CR2 6EY,T,F,32,,PURLEY ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,595.93023255814,5.0,86.0,58.0,1900.0,CR2,1995
{1BCBC405-BAA5-4C0C-9F2C-DE4996C2CCEF},57250,1995-04-19 00:00,CR2 7DJ,T,F,125,,ST PETERS STREET,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1022.32142857143,3.0,56.0,55.0,1929.0,CR2,1995
